Series ID,Year,Period,Label,Value
CUUR0000SAH1,2018,M12,2018 Dec,311.652
CUUR0000SAH1,2019,M01,2019 Jan,312.696
CUUR0000SAH1,2019,M02,2019 Feb,313.880
CUUR0000SAH1,2019,M03,2019 Mar,315.135
CUUR0000SAH1,2019,M04,2019 Apr,316.263
CUUR0000SAH1,2019,M05,2019 May,317.188
CUUR0000SAH1,2019,M06,2019 Jun,318.300
CUUR0000SAH1,2019,M07,2019 Jul,319.136
CUUR0000SAH1,2019,M08,2019 Aug,319.679
CUUR0000SAH1,2019,M09,2019 Sep,320.569
CUUR0000SAH1,2019,M10,2019 Oct,320.762
CUUR0000SAH1,2019,M11,2019 Nov,321.267
CUUR0000SAH1,2019,M12,2019 Dec,321.766
CUUR0000SAH1,2020,M01,2020 Jan,323.053
CUUR0000SAH1,2020,M02,2020 Feb,324.254
CUUR0000SAH1,2020,M03,2020 Mar,324.615
CUUR0000SAH1,2020,M04,2020 Apr,324.522
CUUR0000SAH1,2020,M05,2020 May,325.265
CUUR0000SAH1,2020,M06,2020 Jun,325.814
CUUR0000SAH1,2020,M07,2020 Jul,326.580
CUUR0000SAH1,2020,M08,2020 Aug,326.997
CUUR0000SAH1,2020,M09,2020 Sep,327.116
CUUR0000SAH1,2020,M10,2020 Oct,327.273
CUUR0000SAH1,2020,M11,2020 Nov,327.435
CUUR0000SAH1,2020,M12,2020 Dec,327.702
CUUR0000SAH1,2021,M01,2021 Jan,328.282
CUUR0000SAH1,2021,M02,2021 Feb,329.005
CUUR0000SAH1,2021,M03,2021 Mar,330.122
CUUR0000SAH1,2021,M04,2021 Apr,331.354
CUUR0000SAH1,2021,M05,2021 May,332.454
CUUR0000SAH1,2021,M06,2021 Jun,334.222
CUUR0000SAH1,2021,M07,2021 Jul,335.812
CUUR0000SAH1,2021,M08,2021 Aug,336.284
CUUR0000SAH1,2021,M09,2021 Sep,337.451
CUUR0000SAH1,2021,M10,2021 Oct,338.671
CUUR0000SAH1,2021,M11,2021 Nov,339.997
CUUR0000SAH1,2021,M12,2021 Dec,341.241
CUUR0000SAH1,2022,M01,2022 Jan,342.604
CUUR0000SAH1,2022,M02,2022 Feb,344.607
CUUR0000SAH1,2022,M03,2022 Mar,346.618
CUUR0000SAH1,2022,M04,2022 Apr,348.389
CUUR0000SAH1,2022,M05,2022 May,350.580
CUUR0000SAH1,2022,M06,2022 Jun,352.967
CUUR0000SAH1,2022,M07,2022 Jul,354.935
CUUR0000SAH1,2022,M08,2022 Aug,357.264
CUUR0000SAH1,2022,M09,2022 Sep,359.704
CUUR0000SAH1,2022,M10,2022 Oct,362.093
CUUR0000SAH1,2022,M11,2022 Nov,364.195
CUUR0000SAH1,2022,M12,2022 Dec,366.868
CUUR0000SAH1,2023,M01,2023 Jan,369.585
CUUR0000SAH1,2023,M02,2023 Feb,372.510
CUUR0000SAH1,2023,M03,2023 Mar,374.971
CUUR0000SAH1,2023,M04,2023 Apr,376.636
CUUR0000SAH1,2023,M05,2023 May,378.776
CUUR0000SAH1,2023,M06,2023 Jun,380.594
CUUR0000SAH1,2023,M07,2023 Jul,382.226
CUUR0000SAH1,2023,M08,2023 Aug,383.221
CUUR0000SAH1,2023,M09,2023 Sep,385.433
CUUR0000SAH1,2023,M10,2023 Oct,386.435
CUUR0000SAH1,2023,M11,2023 Nov,387.892
CUUR0000SAH1,2023,M12,2023 Dec,389.433
